Group,The scientist's work sounds like fun,I enjoy science classes,I'm good at science,I want to be a scientist in the future,I'll probably go to do some college science course,The science classes I have in school will help me in the future,I generally understand what is taught in science classes,Learning new things will never change your intelligence,I can get smarter if I study hard,Only very good students will go to any science course in college,I'm good at science classes because I'm smart,I don't do well in science classes because I'm not smart,I want to be a scientist in the future,"For me, it's more important to learn new things in class than to get good grades in exams.",Understanding what is taught is more important than memorizing what is taught,Scientists often need to educate the general public on important issues,Scientists usually work in teams,Scientists usually engage well with the general public,Scientists get high salaries,Scientists are usually financially poor,It's hard to get a job as a scientist,Scientists are antisocial people,Scientists are tedious people
EXP-BEFORE,Totally agree,Partially agree,Neither agree nor disagree,Totally disagree,Totally disagree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Neither agree nor disagree,Partially disagree,Totally disagree,Totally agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree,Partially disagree
EXP-BEFORE,Partially disagree,Partially agree,Totally disagree,Totally disagree,Totally disagree,Totally agree,Partially disagree,Totally disagree,Partially disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally agree,Totally agree,Totally agree,Totally agree,Partially agree,Neither agree nor disagree,Totally disagree,Totally agree,Partially agree,Totally agree
EXP-BEFORE,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Totally agree,,Partially disagree,Partially agree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Totally agree,Totally agree,Partially agree,Totally agree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree
EXP-BEFORE,Partially disagree,Neither agree nor disagree,Totally disagree,Totally disagree,Totally disagree,Totally agree,Neither agree nor disagree,Totally disagree,Totally agree,Totally disagree,Totally disagree,Partially disagree,Totally disagree,Totally disagree,Totally agree,Totally agree,Totally agree,Partially disagree,Totally disagree,Totally disagree,Partially disagree,Totally disagree,Totally disagree
EXP-BEFORE,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally agree,Partially disagree,Totally agree,Partially agree,Totally agree,Totally disagree,Totally disagree,Totally disagree,Totally agree,Totally agree,Totally agree,Totally disagree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree,Neither agree nor disagree,Partially agree,Totally agree
EXP-BEFORE,Partially agree,Partially disagree,Neither agree nor disagree,Totally agree,Totally disagree,Partially agree,Partially agree,Totally disagree,Totally agree,Totally agree,Partially disagree,Neither agree nor disagree,Totally disagree,Totally disagree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially disagree,Neither agree nor disagree
EXP-BEFORE,Partially agree,Partially agree,Totally disagree,Totally disagree,Totally disagree,Partially agree,Partially agree,Neither agree nor disagree,Totally agree,Totally agree,Totally disagree,Neither agree nor disagree,Totally disagree,Partially agree,Totally agree,Totally agree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Totally agree,Neither agree nor disagree,Partially agree
EXP-BEFORE,Partially disagree,Partially agree,Partially disagree,Totally disagree,Totally disagree,Totally agree,Partially agree,Totally agree,Totally disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree,Neither agree nor disagree,Totally agree,Neither agree nor disagree,Partially agree,Totally agree,Partially agree,Totally disagree,Neither agree nor disagree,Totally disagree,Totally disagree
EXP-BEFORE,Partially disagree,Totally agree,Totally agree,,Totally agree,Totally agree,Partially agree,,Totally agree,Partially disagree,Partially agree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Partially agree
EXP-BEFORE,Totally agree,Partially agree,Partially agree,Partially disagree,Partially agree,Totally agree,Partially agree,Totally disagree,Totally agree,Totally agree,,Partially disagree,Totally disagree,Partially disagree,Partially agree,Totally agree,Partially agree,Partially agree,Neither agree nor disagree,Totally disagree,Partially agree,Neither agree nor disagree,Partially agree
EXP-BEFORE,Partially agree,Totally agree,Partially disagree,Neither agree nor disagree,Totally disagree,Totally agree,Partially agree,Totally agree,Totally agree,,Neither agree nor disagree,,Totally disagree,Partially agree,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,Totally disagree,Totally disagree,Partially disagree,Partially disagree,Neither agree nor disagree
EXP-BEFORE,Partially agree,Partially disagree,Partially agree,Totally agree,Totally agree,Totally agree,Neither agree nor disagree,Totally disagree,Totally agree,Totally disagree,Totally disagree,Partially agree,Neither agree nor disagree,Totally agree,Totally agree,Totally agree,Totally agree,Partially agree,Partially agree,Totally disagree,Neither agree nor disagree,Partially disagree,Partially agree
EXP-BEFORE,Totally agree,Totally agree,Totally agree,Totally agree,Neither agree nor disagree,Totally agree,Totally agree,Totally disagree,Totally agree,Partially disagree,Partially agree,Partially disagree,Totally disagree,Neither agree nor disagree,Totally agree,Totally agree,Totally agree,Neither agree nor disagree,Totally disagree,Totally disagree,Totally agree,Partially agree,Totally disagree
EXP-BEFORE,Partially disagree,Totally disagree,Neither agree nor disagree,Partially agree,Totally disagree,Totally agree,Partially agree,Partially disagree,Totally agree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Totally agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Totally agree,Totally disagree,Totally disagree,Neither agree nor disagree,Partially disagree,Partially disagree
EXP-BEFORE,Totally disagree,Totally disagree,Totally disagree,Totally disagree,,Totally disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Totally disagree,Totally disagree,Totally disagree,Partially agree,Partially agree,Partially agree,Totally disagree,Totally disagree,Partially agree,Totally disagree,Partially agree,Totally disagree,Partially agree
EXP-BEFORE,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Partially agree,Partially agree,Neither agree nor disagree,Totally agree,Partially agree,Totally disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree
EXP-BEFORE,Totally agree,Partially agree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially disagree,Partially agree,Partially disagree,Partially disagree
EXP-BEFORE,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Totally agree,Totally agree,Partially disagree,Totally disagree,Totally agree,Partially disagree,Partially disagree,Neither agree nor disagree,Totally agree,Totally agree,Totally agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Totally disagree,Partially disagree,Totally disagree,Totally disagree
EXP-BEFORE,Totally disagree,Totally disagree,Totally disagree,Totally agree,Totally agree,Partially agree,Totally disagree,Totally disagree,Partially agree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Partially disagree,Totally disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Totally disagree,Partially agree,Partially disagree,Partially disagree,Totally agree
EXP-BEFORE,Totally agree,Partially disagree,Partially disagree,Partially disagree,Partially disagree,Totally agree,Partially disagree,Totally disagree,Totally agree,Totally disagree,Partially disagree,Totally disagree,Totally agree,Totally agree,Totally agree,Partially disagree,Totally agree,,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree
EXP-BEFORE,Totally agree,Totally agree,Partially disagree,Totally disagree,Totally agree,Partially agree,Partially agree,Partially agree,Totally agree,Partially agree,Neither agree nor disagree,Totally disagree,Totally agree,Totally agree,Totally agree,Partially agree,Totally agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Totally agree,Neither agree nor disagree
EXP-BEFORE,Neither agree nor disagree,Totally agree,Partially disagree,Partially agree,Totally disagree,Totally agree,Totally agree,Totally disagree,Totally agree,,Partially disagree,Totally disagree,Totally agree,Totally agree,Totally agree,Partially disagree,Totally disagree,Partially agree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree
EXP-BEFORE,Partially agree,Totally agree,Partially agree,Partially agree,Totally agree,Totally agree,Partially agree,Totally disagree,Partially agree,Partially agree,Partially agree,Partially disagree,Totally disagree,Totally agree,Partially agree,Totally agree,Totally agree,Partially agree,Neither agree nor disagree,Partially agree,Totally agree,Totally disagree,Partially agree
EXP-BEFORE,Partially agree,Totally agree,Partially agree,Totally agree,Totally agree,Totally agree,Partially agree,Totally disagree,Totally agree,Totally agree,Totally agree,Partially disagree,Totally disagree,Totally agree,Partially agree,Totally agree,Totally agree,Partially agree,Neither agree nor disagree,Partially agree,Totally agree,Totally disagree,Partially agree
EXP-BEFORE,Partially agree,Totally agree,Totally disagree,Totally disagree,Totally agree,Totally agree,Partially disagree,Totally disagree,Partially agree,Totally disagree,Partially agree,Partially disagree,Totally disagree,Partially disagree,Partially disagree,Totally agree,Totally agree,Partially agree,Neither agree nor disagree,Partially agree,Totally agree,Totally disagree,Partially agree
EXP-BEFORE,Partially agree,Totally agree,Partially agree,Partially agree,Partially agree,Totally agree,Partially agree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Totally agree,Partially agree,Partially agree,Partially agree,Partially agree,Totally disagree,Partially agree
EXP-BEFORE,Totally agree,Totally disagree,Partially agree,Partially agree,Partially agree,Totally agree,Partially agree,Partially agree,Totally agree,Partially disagree,Neither agree nor disagree,Partially disagree,Totally disagree,Partially agree,Partially agree,Partially disagree,Totally agree,Partially agree,Partially disagree,Partially disagree,Partially agree,Partially disagree,Totally disagree
EXP-BEFORE,Totally agree,Partially agree,Partially agree,Partially disagree,Partially disagree,Totally agree,Partially agree,Totally disagree,Totally agree,Totally disagree,Neither agree nor disagree,,Totally disagree,Neither agree nor disagree,Totally agree,Totally agree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Totally disagree
EXP-BEFORE,Totally agree,Partially agree,Partially agree,Totally agree,Partially agree,Totally agree,,,,Partially agree,Partially disagree,Totally disagree,Partially agree,Partially agree,Totally agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Totally disagree
EXP-BEFORE,Partially agree,Totally agree,Totally agree,Partially disagree,Partially agree,Totally agree,Partially agree,Totally disagree,Totally agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially agree,Totally agree,Totally agree,Partially agree,Partially agree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree
EXP-BEFORE,Partially agree,Totally agree,Partially agree,Totally agree,Neither agree nor disagree,Totally agree,Partially agree,Totally disagree,Totally agree,Totally disagree,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Totally agree,Totally agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Totally disagree,Totally disagree
EXP-BEFORE,Partially agree,Totally agree,Totally agree,Partially disagree,Partially agree,Totally agree,Partially agree,Totally disagree,Totally agree,Partially agree,Neither agree nor disagree,Totally disagree,Totally disagree,Partially agree,Totally agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Totally disagree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree
EXP-BEFORE,Partially agree,Partially agree,Partially agree,Totally disagree,Partially agree,Totally agree,Partially agree,Partially agree,Totally agree,Partially agree,Totally agree,Totally disagree,Neither agree nor disagree,Partially disagree,Partially agree,Totally agree,Totally agree,Partially agree,Totally agree,Totally disagree,Totally agree,Totally disagree,Neither agree nor disagree
EXP-BEFORE,Neither agree nor disagree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Totally disagree,Partially agree,Totally disagree,Partially agree,Totally disagree,Neither agree nor disagree,Partially agree,Totally agree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Totally disagree,Totally disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree
EXP-BEFORE,Partially agree,Totally agree,Totally agree,Totally disagree,Partially agree,Totally agree,Partially agree,Totally agree,Partially agree,Neither agree nor disagree,Totally disagree,Totally agree,Totally agree,Partially agree,Totally agree,Neither agree nor disagree,Totally agree,Totally agree,Partially agree,Totally disagree,Totally agree,Partially agree,Totally disagree
EXP-BEFORE,Partially agree,Totally disagree,Partially disagree,Neither agree nor disagree,Totally agree,Totally disagree,Partially disagree,Totally disagree,Totally agree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally disagree,Totally disagree,Totally disagree,Totally disagree
EXP-BEFORE,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree,Neither agree nor disagree,Totally disagree,Partially disagree,Totally agree,Totally agree,Totally disagree,Totally agree,Totally disagree,Partially disagree,Totally agree,Neither agree nor disagree,Totally agree,Neither agree nor disagree,Totally disagree,Totally disagree,Totally agree,Neither agree nor disagree,Neither agree nor disagree
EXP-BEFORE,Partially agree,Totally agree,Partially agree,Totally agree,Totally agree,Totally agree,Totally agree,Neither agree nor disagree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree
EXP-BEFORE,Neither agree nor disagree,Partially agree,Partially disagree,Partially disagree,Partially disagree,Partially agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree
EXP-BEFORE,Totally agree,Partially agree,Totally disagree,Totally agree,Partially agree,Totally agree,Partially agree,Totally agree,Totally agree,Totally disagree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Totally agree,Partially agree,Totally disagree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree,Partially disagree
EXP-BEFORE,Partially agree,Totally agree,Partially disagree,Totally disagree,Totally agree,Partially agree,Neither agree nor disagree,Totally disagree,Totally agree,Partially disagree,Partially disagree,Totally disagree,Totally agree,Totally agree,Partially agree,Totally agree,Totally agree,Partially agree,Neither agree nor disagree,Totally disagree,Partially disagree,Partially agree,Partially disagree
EXP-BEFORE,Totally agree,Totally agree,Partially disagree,Totally disagree,Partially agree,Totally agree,Partially agree,Totally disagree,Totally agree,Partially disagree,Partially agree,Totally disagree,Totally disagree,Totally disagree,Totally agree,Partially disagree,Totally agree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Totally agree,Partially disagree,Neither agree nor disagree
EXP-BEFORE,Partially agree,Totally agree,Partially agree,Totally disagree,Totally agree,Totally agree,Totally agree,Partially agree,Totally agree,Partially agree,Partially agree,Totally disagree,Totally agree,Neither agree nor disagree,Totally agree,Partially agree,Totally agree,Totally agree,Neither agree nor disagree,Partially agree,Partially agree,Neither agree nor disagree,Totally disagree
EXP-BEFORE,Partially agree,Totally agree,Totally disagree,,Totally agree,Totally agree,Totally disagree,,Totally agree,Totally disagree,Totally disagree,Totally agree,Totally disagree,Partially agree,Totally agree,Totally agree,Totally agree,Partially agree,Neither agree nor disagree,Totally disagree,Totally agree,Partially agree,Totally agree
EXP-BEFORE,Partially agree,Totally agree,Partially agree,Totally agree,Totally agree,Totally agree,Partially agree,Totally agree,Totally agree,Neither agree nor disagree,Partially disagree,Partially agree,Totally disagree,Totally agree,Totally agree,Totally agree,Totally agree,Partially agree,Neither agree nor disagree,Partially disagree,Totally agree,Partially agree,Totally agree
EXP-BEFORE,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Totally disagree,Partially agree,Partially disagree,Neither agree nor disagree,Totally disagree,Partially disagree,Neither agree nor disagree,Totally agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially disagree,Partially agree,Partially disagree,Totally disagree
EXP-BEFORE,Partially agree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially agree,Totally agree,Partially agree,Totally agree,Totally agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
EXP-BEFORE,Partially agree,Totally agree,Totally disagree,Totally disagree,Partially disagree,Totally agree,Partially agree,Partially disagree,Totally agree,Totally agree,Totally agree,Partially disagree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Partially disagree,Totally agree,Totally agree,Totally agree,Partially disagree
EXP-BEFORE,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Totally agree,Partially agree,Partially agree,Neither agree nor disagree,Totally agree,Partially disagree,Partially disagree,Totally disagree,Totally disagree,Partially disagree,Totally agree,Totally agree,Partially agree,Totally agree,Totally agree,Partially agree,Partially disagree,Partially agree,Partially disagree,Totally disagree
EXP-BEFORE,Partially agree,Totally agree,Partially agree,Partially disagree,Partially agree,Totally agree,Totally agree,Partially agree,Totally agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree,Totally agree,Totally agree,Neither agree nor disagree,Totally agree,Totally agree,Neither agree nor disagree,Totally disagree,Totally agree,Neither agree nor disagree,Totally disagree
EXP-BEFORE,Partially disagree,Partially disagree,Partially agree,Totally agree,Totally agree,Partially agree,Neither agree nor disagree,Totally agree,Partially disagree,Partially agree,Partially disagree,Totally disagree,Partially disagree,Totally agree,Partially agree,Partially agree,Totally agree,Partially disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Totally agree
EXP-BEFORE,Totally agree,Partially agree,Neither agree nor disagree,Totally agree,Totally disagree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Partially agree,Totally agree,Partially agree,Neither agree nor disagree,Totally agree,Totally agree,Totally agree,Partially disagree,Partially disagree,Partially agree,Partially disagree,Totally agree,Totally agree
EXP-AFTER,Totally agree,Partially agree,Partially agree,,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Totally disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree,Totally agree,Partially disagree,Totally agree,Totally disagree,Totally disagree,Totally disagree,Neither agree nor disagree
EXP-AFTER,Totally agree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Partially agree,Totally disagree,Totally agree,Totally disagree,Partially disagree,Neither agree nor disagree,Partially agree,Partially agree,Totally agree,Totally agree,Neither agree nor disagree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree,Totally disagree
EXP-AFTER,Partially agree,Totally agree,Totally agree,Partially disagree,Partially agree,Totally agree,Partially agree,Totally disagree,Totally agree,Partially agree,Totally agree,Neither agree nor disagree,Totally agree,Partially agree,Totally agree,Totally agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Totally agree,Neither agree nor disagree,Neither agree nor disagree
EXP-AFTER,Totally agree,Totally agree,Totally agree,Totally disagree,Totally agree,Totally agree,Partially agree,9,Totally agree,Totally agree,Partially disagree,Partially agree,Totally disagree,Totally agree,Partially agree,Totally agree,Totally agree,Totally agree,Totally agree,Neither agree nor disagree,Totally agree,Totally disagree,Totally agree
EXP-AFTER,Totally agree,Totally disagree,Partially agree,Partially disagree,Totally agree,Totally agree,Partially agree,Totally disagree,Totally agree,Totally agree,Partially disagree,Partially agree,Neither agree nor disagree,Totally agree,Partially agree,Totally agree,Totally agree,Totally agree,Totally disagree,Totally disagree,Neither agree nor disagree,Totally disagree,Totally disagree
EXP-AFTER,Neither agree nor disagree,Totally agree,Totally agree,Partially agree,Partially agree,Totally agree,Partially agree,Totally agree,Partially agree,Partially disagree,Partially agree,Partially disagree,Partially agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Partially disagree,Totally disagree,Totally agree,Partially disagree,Totally disagree
EXP-AFTER,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Totally agree,Totally agree,Totally agree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Totally agree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree
EXP-AFTER,Totally agree,Totally agree,Totally agree,Partially agree,Partially agree,Totally agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Partially agree,Totally agree,Totally agree,Partially agree,Totally agree,Partially agree,Partially agree,Partially agree,Totally disagree,Partially agree
EXP-AFTER,Totally agree,Partially agree,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,Partially agree,Partially agree,Totally agree,Partially agree,Partially agree,Partially disagree,Partially agree,Totally agree,Totally agree,Partially agree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree
EXP-AFTER,Totally agree,Partially agree,Neither agree nor disagree,Partially agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally disagree,Partially agree,Totally disagree,Neither agree nor disagree,Totally agree,Neither agree nor disagree,Totally agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree
EXP-AFTER,Totally agree,Totally agree,Neither agree nor disagree,Partially disagree,Totally agree,Partially agree,Partially disagree,Partially disagree,Totally agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Totally disagree,Partially agree,Partially agree,Partially disagree,Totally agree,Totally agree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Totally disagree
EXP-AFTER,Partially agree,Totally agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially agree,Totally disagree,Totally agree,Totally disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Partially agree,Totally agree,Totally agree,Neither agree nor disagree,Totally agree,Neither agree nor disagree,Partially disagree,Partially disagree,Totally disagree,Totally disagree
EXP-AFTER,Partially agree,Partially disagree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Neither agree nor disagree,Partially disagree,Partially disagree,Partially agree,Partially agree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially agree,Partially agree,Partially disagree,Totally disagree,Neither agree nor disagree,Partially disagree,Partially disagree
EXP-AFTER,Totally agree,Totally agree,Totally agree,Partially agree,Totally agree,Totally agree,Totally agree,Totally disagree,Totally disagree,Partially agree,Totally agree,Totally disagree,Totally agree,Partially disagree,Totally disagree,Partially disagree,Totally agree,Neither agree nor disagree,Partially disagree,Partially agree,Totally agree,Partially disagree,Neither agree nor disagree
EXP-AFTER,Totally agree,Totally agree,Totally agree,Partially agree,Totally agree,Totally agree,Totally agree,Totally disagree,Totally agree,Partially disagree,Partially agree,Totally disagree,Partially disagree,Totally agree,Partially agree,Totally agree,Partially agree,Partially agree,Partially agree,Partially disagree,Totally agree,Partially disagree,Neither agree nor disagree
EXP-AFTER,Totally agree,Totally agree,Totally agree,Partially agree,Partially agree,Partially agree,Totally agree,Totally disagree,Totally agree,Totally disagree,Partially agree,Totally disagree,Partially disagree,Totally agree,Totally agree,Partially agree,Totally agree,Partially agree,Partially agree,Partially disagree,Totally agree,Partially disagree,Neither agree nor disagree
EXP-AFTER,Partially agree,Totally agree,Partially agree,Totally disagree,Totally agree,Totally agree,Partially agree,Partially disagree,Totally agree,Totally disagree,Partially agree,Totally disagree,Totally agree,Totally disagree,Totally agree,Partially agree,Totally agree,Totally agree,Partially agree,Partially agree,Totally agree,Totally disagree,Totally disagree
EXP-AFTER,Partially agree,Totally agree,Totally agree,Totally disagree,Totally agree,Partially agree,Totally agree,Totally agree,Totally agree,Partially agree,Partially agree,Totally disagree,Totally agree,Partially agree,Totally agree,Partially agree,Totally agree,Partially agree,Partially agree,Totally disagree,Totally agree,Partially agree,Partially disagree
EXP-AFTER,Partially agree,Totally agree,Totally agree,Totally disagree,Totally agree,Partially disagree,Partially agree,Totally agree,Totally agree,Partially agree,Totally disagree,Partially disagree,Totally disagree,Totally agree,Partially agree,Partially disagree,Totally agree,Partially agree,Partially disagree,Partially agree,Partially agree,Partially agree,Totally disagree
EXP-AFTER,Partially agree,Partially agree,,Neither agree nor disagree,Totally disagree,Totally agree,Totally disagree,Neither agree nor disagree,Partially disagree,Partially agree,Totally agree,Totally disagree,Neither agree nor disagree,Totally agree,Totally agree,Partially disagree,Totally agree,Partially agree,Totally agree,Partially agree,Partially disagree,Partially agree,Totally agree
EXP-AFTER,Totally disagree,Partially agree,Partially agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially agree,Partially disagree,Partially agree,Totally disagree,Partially agree,Partially disagree,Partially disagree,Partially agree,Totally agree,Totally agree,Partially agree,Totally agree,Partially agree,Partially disagree,Partially agree,Neither agree nor disagree,Totally disagree
EXP-AFTER,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Totally agree,Partially disagree,Totally agree,Totally agree,Partially agree,Totally agree,Partially agree,Partially agree,Totally agree,Partially agree,Totally agree,Totally agree,Totally disagree
EXP-AFTER,Partially disagree,Partially agree,Partially disagree,Totally agree,Partially disagree,Partially agree,Partially agree,Totally disagree,Partially agree,Partially disagree,Totally disagree,Totally agree,Partially agree,Partially agree,Totally disagree,,Partially agree,Totally agree,Partially disagree,Totally agree,Partially disagree,Totally disagree,Partially disagree
EXP-AFTER,Partially agree,Partially agree,Partially agree,Totally agree,Partially agree,Neither agree nor disagree,Partially agree,Totally agree,Partially agree,Totally agree,Partially agree,Partially disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Partially disagree,Neither agree nor disagree,Partially disagree,Partially disagree,Neither agree nor disagree,Totally disagree,Partially agree,Neither agree nor disagree
EXP-AFTER,Totally agree,Partially agree,Partially agree,Totally agree,Partially agree,Totally agree,Partially agree,Partially agree,Totally agree,Totally disagree,Totally disagree,Partially agree,Totally disagree,Totally disagree,Totally agree,Partially agree,Totally agree,Partially agree,Totally disagree,Totally disagree,Totally agree,Neither agree nor disagree,Totally disagree
EXP-AFTER,Totally agree,Totally agree,Neither agree nor disagree,Partially disagree,Totally agree,Partially disagree,Partially agree,Totally agree,Totally agree,Totally disagree,Totally disagree,Totally disagree,Partially disagree,Partially agree,Totally disagree,Totally agree,Totally agree,Partially disagree,,Partially agree,Totally disagree,Totally agree,Partially agree
EXP-AFTER,Partially agree,Totally agree,Partially agree,Totally agree,Partially agree,Partially agree,Partially agree,Partially agree,Totally agree,Partially disagree,Partially agree,Totally disagree,Totally disagree,Totally agree,Totally agree,Totally agree,Totally agree,Partially agree,Partially disagree,Totally disagree,Partially agree,Totally agree,Totally agree
EXP-AFTER,Partially agree,Partially agree,,Totally agree,,Partially agree,,Partially agree,Totally agree,,Neither agree nor disagree,,Neither agree nor disagree,Neither agree nor disagree,Totally disagree,Totally disagree,Totally disagree,Totally disagree,Neither agree nor disagree,Totally agree,,Partially agree,Partially agree
EXP-AFTER,Totally agree,Partially agree,Partially agree,Totally disagree,Totally disagree,Totally agree,Totally agree,Totally disagree,Totally agree,Totally agree,Totally agree,Totally disagree,Partially agree,Partially agree,Partially agree,Partially agree,Totally agree,Totally agree,Partially agree,Partially agree,Partially agree,Partially disagree,Neither agree nor disagree
